    type_stands,X,Y,Easting,Northing,location_stand,no_stands,physical_condition,occupancy,expanded_capacity,security_safetyrating,lighting,protection_weather,large_development,ease_access,proximity_cyclenetwork,commercial,retail,residential,transportation,education,recreational,entertainment,restaurants,expanded_stands
Sheffield Stand,-6.22726053,53.34779261,318106.414,234502.185,East wall road outside the O2,4,High,0,1000,Medium,High,Low,All,Good,Visible,,,,,,,Yes,,20
Sheffield Stand,-6.265138686,53.33424783,315620.753,232932.916,"Camden street lower, outside centra shop",1,High,50,1000,High,High,Low,All,Good,Visible,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10
Sheffield Stand,-6.249765605,53.34494805,316615.57,234148.652,Marks lane,2,High,0,700,Medium,High,Low,All,Good,Unknown,,,Yes,,,,,,14
Sheffield Stand,-6.251051724,53.34851312,316520.2,234543.281,"Custom House Quay, outside AIB International Centre",1,High,0,600,,High,Low,,Good,Visible,Yes,,,,,,,,6
Sheffield Stand,-6.242272854,53.34296483,317119.98,233940.217,Pearce street outside garden area,3,High,0,500,High,High,Low,All,Good,Visible,,,,,,,,,15
Sheffield Stand,-6.262080967,53.34817688,315786.687,234487.924,"Middle abbey street, outside arnotts carpark",2,Medium,25,500,High,High,Low,All,Good,Visible,,,,,,,,,10
Sheffield Stand,-6.25176385,53.35182974,316463.739,234911.2,Foley street,3,High,0,500,Medium,High,Low,All,Good,Unknown,,,,,,,,,15
Sheffield Stand,-6.268160194,53.35686542,315358.411,235444.966,Bloomington street outside Dargans pharmacy.,3,High,,500,High,High,Low,All,Good,Adjacent & Visible,,,,,,,,,15
Sheffield Stand,-6.264363527,53.35398625,315618.97,235130.706,Parnell square north,4,High,,500,High,High,Low,All,Good,Unknown,,,,,,,,,20
Sheffield Stand,-6.262504756,53.34211451,315774.891,233812.603,"William street south, duke street gallery.",2,High,100,500,High,High,Low,All,Good,Unknown,,,,,,,,,10
Sheffield Stand,-6.271338612,53.35055212,315163.824,234737.276,North king street,2,High,,500,High,High,Low,All,Good,Adjacent & Visible,,,,,,,,,10
Sheffield Stand,-6.245986372,53.33485887,316894.837,233032.088,Maggot street lower outside Medmark healthcare ,2,High,25,500,High,High,Low,All,Good,Adjacent & Visible,,,,,,,,,10
Railing,-6.262797117,53.33769129,315767.401,233319.904,"Cuffe street, across from O'callaghan Stephen green hotel",5,High,20,400,High,High,Low,All,Good,Adjacent & Visible,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,20
Sheffield Stand,-6.25826081,53.35392471,316025.458,235133.756,Parnell street outside temple hall,2,High,0,400,High,High,Low,All,Good,Visible,,,,,,,,,8
Sheffield Stand,-6.264474839,53.3509772,315619.703,234795.672,Parnell street outside beauty chic,2,High,50,400,High,High,Low,All,Good,Adjacent & Visible,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,8
Sheffield Stand,-6.259794384,53.35342112,315924.719,235075.225,"Parnell street, outside 147 deli",2,High,0,400,High,High,Low,All,Good,Adjacent & Visible,,,,,,,,,8
Sheffield Stand,-6.265522242,53.33630513,315589.64,233161.236,"Wexford street, Infront of bank of ireland",2,High,25,400,High,High,Low,All,Good,Adjacent & Visible,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,8
Sheffield Stand,-6.264283061,53.34393043,315651.544,234011.802,"Bottom of George's street, beside the mercantile",6,High,100,400,High,High,Low,All,Good,Adjacent & Visible,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,24
